date,channel,campaign,spend,clicks,conversions
2026-07-28,Organic,Retargeting,188.54,251,13
2026-07-28,Paid Search,Retargeting,564.67,213,5
2026-07-28,Paid Search,Holiday Promo,305.16,203,1
2026-07-28,Referral,Newsletter,401.96,425,2
2026-07-28,Social,Retargeting,252.36,142,9
2026-07-28,Display,Brand Awareness,57.53,124,3
2026-07-28,Social,Newsletter,509.54,366,12
2026-07-28,Social,Retargeting,440.62,145,4
2026-07-28,Organic,Newsletter,178.32,750,50
2026-07-28,Referral,Product Launch,295.98,679,38
2026-07-28,Referral,Newsletter,181.76,434,24
2026-07-29,Paid Search,Product Launch,303.82,130,3
2026-07-29,Social,Spring Sale,77.77,663,3
2026-07-29,Referral,Holiday Promo,35.51,89,1
2026-07-29,Organic,Holiday Promo,209.63,411,9
2026-07-29,Organic,Spring Sale,460.9,656,42
2026-07-29,Organic,Retargeting,479.78,789,12
2026-07-29,Display,Retargeting,304.35,320,8
2026-07-29,Email,Newsletter,337.04,575,2
2026-07-29,Paid Search,Retargeting,281.07,460,27
2026-07-29,Referral,Retargeting,40.87,405,5
2026-07-29,Display,Product Launch,533.13,590,10
2026-07-29,Referral,Brand Awareness,201.23,523,24
2026-07-29,Paid Search,Newsletter,411.51,519,34
2026-07-30,Organic,Brand Awareness,313.88,507,25
2026-07-30,Referral,Newsletter,583.11,289,19
2026-07-30,Email,Product Launch,205.88,712,1
2026-07-30,Paid Search,Brand Awareness,505.42,624,22
2026-07-30,Organic,Spring Sale,463.81,779,40
2026-07-30,Referral,Spring Sale,268.33,369,11
2026-07-30,Email,Spring Sale,403.52,441,7
2026-07-30,Display,Product Launch,363.67,260,2
2026-07-30,Paid Search,Product Launch,118.47,332,17
2026-07-30,Paid Search,Retargeting,401.51,353,13
2026-07-30,Organic,Retargeting,174.64,601,30
2026-07-30,Paid Search,Product Launch,239.09,622,24
2026-07-30,Organic,Spring Sale,488.83,350,3
2026-07-31,Referral,Newsletter,490.65,364,21
2026-07-31,Social,Newsletter,193.72,367,13
2026-07-31,Referral,Holiday Promo,511.45,226,2
2026-07-31,Social,Product Launch,173.79,568,19
2026-07-31,Referral,Brand Awareness,382.25,607,5
2026-07-31,Organic,Spring Sale,363.28,754,17
2026-07-31,Organic,Newsletter,295.66,88,1
2026-07-31,Paid Search,Holiday Promo,497.77,375,16
2026-07-31,Referral,Holiday Promo,333.17,327,6
2026-08-01,Email,Newsletter,318.91,431,21
2026-08-01,Social,Spring Sale,384.15,580,33
2026-08-01,Organic,Retargeting,143.51,211,13
2026-08-01,Referral,Product Launch,563.55,780,34
2026-08-01,Referral,Newsletter,441.44,649,3
2026-08-01,Social,Product Launch,288.24,554,15
2026-08-01,Display,Holiday Promo,464.01,174,6
2026-08-01,Email,Spring Sale,387.68,440,27
2026-08-01,Email,Product Launch,394.7,442,8
2026-08-01,Organic,Brand Awareness,255.4,723,7
2026-08-01,Social,Spring Sale,162.44,173,4
2026-08-01,Referral,Newsletter,594.95,495,27
2026-08-02,Social,Product Launch,99.13,226,8
2026-08-02,Display,Newsletter,122.07,304,1
2026-08-02,Referral,Spring Sale,52.09,759,5
2026-08-02,Organic,Product Launch,522.96,341,13
2026-08-02,Display,Holiday Promo,533.72,392,12
2026-08-02,Social,Brand Awareness,84.92,761,47
2026-08-03,Organic,Holiday Promo,500.81,143,8
2026-08-03,Referral,Spring Sale,158.08,277,3
2026-08-03,Email,Newsletter,447.6,340,7
2026-08-03,Social,Brand Awareness,81.95,453,6
2026-08-03,Referral,Retargeting,167.5,301,18
2026-08-03,Referral,Newsletter,237.33,77,0
2026-08-03,Organic,Retargeting,295.42,344,7
2026-08-03,Social,Product Launch,295.63,304,11
2026-08-03,Paid Search,Holiday Promo,580.75,335,19
2026-08-03,Display,Holiday Promo,483.39,55,0
2026-08-03,Display,Brand Awareness,166.73,727,24
2026-08-03,Display,Holiday Promo,230.46,336,21
2026-08-03,Organic,Brand Awareness,517.44,144,6
2026-08-03,Referral,Product Launch,194.52,28,0
2026-06-05,Social,Retargeting,579.45,73,0
